title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80,2004,82.0,80
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,77.0,80
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,88.0,80
The Hunter,R,language and brief violence,100,2011,76.89795918367346,82
Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10,2009,76.89795918367346,82
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2007,76.89795918367346,82
Nymphomaniac: Volume 1,NR,This movie has not been rated.,124,2013,76.89795918367346,82
Hunter X Hunter (2011),NR,This movie has not been rated.,124,2013,57.0,80
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,76.89795918367346,82
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
OperaÌ¤Ìµes Especiais,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2015,76.89795918367346,82
3%,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Fearless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,76.89795918367346,82
Hyena Road,R,"bloody war violence, language throughout and some sexual material",100,2015,76.89795918367346,82
"Sex, Love and Therapy",NR,This movie has not been rated.,124,2014,76.89795918367346,82
White Girl,UR,"This movie has not been rated. Intended for adults only and may contain sex, violence, drugs, language or other adult themes.",124,2016,76.89795918367346,82
City of God: 10 Years Later,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,76.89795918367346,82
Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
O Amor no DivÌ£,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
Stronger Than the World,NR,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,124,2016,76.89795918367346,82
Back and Forth,NR,This movie has not been rated.,124,2016,76.89795918367346,82
Happily Married,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,76.89795918367346,82
Pandora,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90.0,80
Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,76.89795918367346,82
The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90.0,80
Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80
Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80
The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,76.89795918367346,82
The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,76.89795918367346,82
Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75.0,80
It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,76.89795918367346,82
Minimalism: A Documentary About the Important Things,TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,70,2016,76.89795918367346,82
Win It All,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,76.89795918367346,82
Louis C.K. 2017,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,71.0,80
The Brothers,R,strong sexual content and language,100,2001,76.89795918367346,82
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80
Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,76.89795918367346,82
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80
November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,76.89795918367346,82
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58.0,80
A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,76.89795918367346,81
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61.0,80
Deidra & Laney Rob a Train,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,76.89795918367346,82
Hurricane Bianca,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
Honeytrap,NR,This movie has not been rated.,124,2014,76.89795918367346,82
Lazy Eye,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
Like Cotton Twines,NR,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,124,2016,76.89795918367346,82
The Wedding Party,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,76.89795918367346,82
Boy Bye,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,76.89795918367346,82
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55.0,80
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58.0,80
The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,76.89795918367346,82
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63.0,80
Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,76.89795918367346,82
The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,80
One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,76.89795918367346,82
Better Off Single,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,76.89795918367346,82
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80
Tramps,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,76.89795918367346,82
Slam,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,76.89795918367346,82
10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80
How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80
The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80
Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81.0,80
StarStruck,TV-G,Suitable for all ages.,35,2010,76.89795918367346,82
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89.0,80
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85.0,80
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83.0,80
Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62.0,80
Fuller House,TV-G,Suitable for all ages.,35,2016,90.0,80
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
Gabriel lglesias: IÛªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
The Wedding Planner,PG-13,language and some sexual humor,80,2001,76.89795918367346,82
Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78.0,80
High School Musical,TV-G,Suitable for all ages.,35,2006,64.0,80
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61.0,80
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
Felipe Neto: My Life Makes No Sense,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,76.89795918367346,82
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98.0,80
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85.0,80
The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,76.89795918367346,82
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90.0,80
Unconditional,PG-13,some violent content and mature thematic elements,80,2012,76.89795918367346,82
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80
Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,76.89795918367346,82
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80
Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,76.89795918367346,82
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,76.89795918367346,82
The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,76.89795918367346,82
The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,76.89795918367346,82
100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,76.89795918367346,82
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80
